window,k,strategy,split,n,mean_block_rate,median_block_rate
prefix:20,10,random,all,4435,0.0507,0.0052
prefix:20,10,random,rumor,2162,0.0886,0.0283
prefix:20,10,random,nonrumor,2273,0.0146,0.0006
prefix:20,10,earliest,all,4435,0.0544,0.0026
prefix:20,10,earliest,rumor,2162,0.0957,0.0189
prefix:20,10,earliest,nonrumor,2273,0.0151,0.0
prefix:20,10,followers,all,4435,0.0747,0.0068
prefix:20,10,followers,rumor,2162,0.1274,0.0355
prefix:20,10,followers,nonrumor,2273,0.0245,0.0002
prefix:20,10,outdegree_obs,all,4435,0.0661,0.0036
prefix:20,10,outdegree_obs,rumor,2162,0.1146,0.0255
prefix:20,10,outdegree_obs,nonrumor,2273,0.0199,0.0
prefix:20,10,greedy_oracle,all,4435,0.0831,0.0095
prefix:20,10,greedy_oracle,rumor,2162,0.143,0.051
prefix:20,10,greedy_oracle,nonrumor,2273,0.026,0.0012
prefix:50,1,random,all,4084,0.0049,0.0
prefix:50,1,random,rumor,1937,0.009,0.0005
prefix:50,1,random,nonrumor,2147,0.0013,0.0
prefix:50,1,earliest,all,4084,0.011,0.0
prefix:50,1,earliest,rumor,1937,0.0198,0.0
prefix:50,1,earliest,nonrumor,2147,0.003,0.0
prefix:50,1,followers,all,4084,0.0506,0.0
prefix:50,1,followers,rumor,1937,0.076,0.0017
prefix:50,1,followers,nonrumor,2147,0.0276,0.0
prefix:50,1,outdegree_obs,all,4084,0.0571,0.0
prefix:50,1,outdegree_obs,rumor,1937,0.092,0.0079
prefix:50,1,outdegree_obs,nonrumor,2147,0.0257,0.0
prefix:50,1,greedy_oracle,all,4084,0.0831,0.0138
prefix:50,1,greedy_oracle,rumor,1937,0.1325,0.0463
prefix:50,1,greedy_oracle,nonrumor,2147,0.0386,0.0046
prefix:50,5,random,all,4084,0.0202,0.0022
prefix:50,5,random,rumor,1937,0.0353,0.0111
prefix:50,5,random,nonrumor,2147,0.0066,0.0003
prefix:50,5,earliest,all,4084,0.0302,0.0
prefix:50,5,earliest,rumor,1937,0.054,0.0021
prefix:50,5,earliest,nonrumor,2147,0.0087,0.0
prefix:50,5,followers,all,4084,0.0777,0.0069
prefix:50,5,followers,rumor,1937,0.1227,0.0272
prefix:50,5,followers,nonrumor,2147,0.0371,0.0014
prefix:50,5,outdegree_obs,all,4084,0.0803,0.0037
prefix:50,5,outdegree_obs,rumor,1937,0.1325,0.0347
prefix:50,5,outdegree_obs,nonrumor,2147,0.0332,0.0
prefix:50,5,greedy_oracle,all,4084,0.1165,0.0263
prefix:50,5,greedy_oracle,rumor,1937,0.1917,0.0986
prefix:50,5,greedy_oracle,nonrumor,2147,0.0486,0.0076
prefix:50,10,random,all,4084,0.0331,0.0047
prefix:50,10,random,rumor,1937,0.0575,0.0213
prefix:50,10,random,nonrumor,2147,0.011,0.0011
prefix:50,10,earliest,all,4084,0.0441,0.0007
